Player,Span,matches,innings,not_out,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,4s,6s,Unnamed: 15,format
V Kohli (INDIA),2010-2019,75,70.0,20.0,2633.0,94*,52.66,1907.0,138.07,0.0,24.0,2.0,247,71,,T20
RG Sharma (INDIA),2007-2019,104,96.0,14.0,2633.0,118,32.1,1905.0,138.21,4.0,19.0,6.0,234,120,,T20
MJ Guptill (NZ),2009-2019,83,80.0,7.0,2436.0,105,33.36,1810.0,134.58,2.0,15.0,2.0,215,113,,T20
Shoaib Malik (ICC/PAK),2006-2019,111,104.0,30.0,2263.0,75,30.58,1824.0,124.06,0.0,7.0,1.0,186,61,,T20
BB McCullum (NZ),2005-2015,71,70.0,10.0,2140.0,123,35.66,1571.0,136.21,2.0,13.0,3.0,199,91,,T20
DA Warner (AUS),2009-2019,76,76.0,8.0,2079.0,100*,30.57,1476.0,140.85,1.0,15.0,5.0,203,86,,T20
EJG Morgan (ENG),2009-2019,86,84.0,17.0,2002.0,91,29.88,1475.0,135.72,0.0,11.0,3.0,151,96,,T20
Mohammad Shahzad (AFG),2010-2018,65,65.0,3.0,1936.0,118*,31.22,1436.0,134.81,1.0,12.0,3.0,218,72,,T20
JP Duminy (SA),2007-2019,81,75.0,25.0,1934.0,96*,38.68,1532.0,126.24,0.0,11.0,6.0,138,71,,T20
PR Stirling (IRE),2009-2019,72,71.0,6.0,1929.0,91,29.67,1401.0,137.68,0.0,16.0,8.0,233,59,,T20
Mohammad Hafeez (PAK),2006-2018,89,86.0,8.0,1908.0,86,24.46,1643.0,116.12,0.0,10.0,6.0,196,51,,T20
TM Dilshan (SL),2006-2016,80,79.0,12.0,1889.0,104*,28.19,1567.0,120.54,1.0,13.0,10.0,223,33,,T20
AJ Finch (AUS),2011-2019,58,58.0,9.0,1878.0,172,38.32,1200.0,156.5,2.0,11.0,4.0,182,90,,T20
LRPL Taylor (NZ),2006-2019,95,87.0,19.0,1743.0,63,25.63,1430.0,121.88,0.0,5.0,5.0,110,65,,T20
Umar Akmal (PAK),2009-2019,84,79.0,14.0,1690.0,94,26.0,1377.0,122.73,0.0,8.0,10.0,122,55,,T20
AB de Villiers (SA),2006-2017,78,75.0,11.0,1672.0,79*,26.12,1237.0,135.16,0.0,10.0,5.0,140,60,,T20
H Masakadza (ZIM),2006-2019,66,66.0,2.0,1662.0,93*,25.96,1418.0,117.2,0.0,11.0,1.0,151,65,,T20
AD Hales (ENG),2011-2019,60,60.0,7.0,1644.0,116*,31.01,1203.0,136.65,1.0,8.0,4.0,175,55,,T20
CH Gayle (WI),2006-2019,58,54.0,4.0,1627.0,117,32.54,1139.0,142.84,2.0,13.0,3.0,138,105,,T20
MS Dhoni (INDIA),2006-2019,98,85.0,42.0,1617.0,56,37.6,1282.0,126.13,0.0,2.0,1.0,116,52,,T20
Tamim Iqbal (BDESH/ICC/World),2007-2018,75,75.0,5.0,1613.0,103*,23.04,1383.0,116.63,1.0,6.0,6.0,174,41,,T20
MN Samuels (WI),2007-2018,67,65.0,10.0,1611.0,89*,29.29,1386.0,116.23,0.0,10.0,0.0,144,69,,T20
SK Raina (INDIA),2006-2018,78,66.0,11.0,1605.0,101,29.18,1190.0,134.87,1.0,5.0,3.0,145,58,,T20
GJ Maxwell (AUS),2012-2019,61,54.0,9.0,1576.0,145*,35.02,985.0,160.0,3.0,7.0,1.0,133,81,,T20
Shakib Al Hasan (BDESH),2006-2019,76,76.0,10.0,1567.0,84,23.74,1266.0,123.77,0.0,9.0,5.0,163,33,,T20
C Munro (NZ),2012-2019,60,57.0,7.0,1546.0,109*,30.92,966.0,160.04,3.0,9.0,5.0,114,100,,T20
KS Williamson (NZ),2011-2019,57,55.0,7.0,1505.0,73*,31.35,1236.0,121.76,0.0,9.0,2.0,158,26,,T20
S Dhawan (INDIA),2011-2019,58,57.0,3.0,1504.0,92,27.85,1173.0,128.21,0.0,9.0,1.0,166,46,,T20
KJ O'Brien (IRE),2008-2019,90,83.0,10.0,1504.0,124,20.6,1124.0,133.8,1.0,3.0,10.0,117,69,,T20
DPMD Jayawardene (SL),2006-2014,55,55.0,8.0,1493.0,100,31.76,1121.0,133.18,1.0,9.0,4.0,173,33,,T20
Ahmed Shehzad (PAK),2009-2019,59,59.0,2.0,1471.0,111*,25.8,1282.0,114.74,1.0,7.0,2.0,157,33,,T20
SR Watson (AUS),2006-2016,58,56.0,6.0,1462.0,124*,29.24,1006.0,145.32,1.0,10.0,3.0,115,83,,T20
Mahmudullah (BDESH),2007-2019,83,76.0,16.0,1430.0,64*,23.83,1166.0,122.64,0.0,4.0,2.0,113,48,,T20
Shahid Afridi (ICC/PAK),2006-2018,99,91.0,12.0,1416.0,54*,17.92,944.0,150.0,0.0,4.0,8.0,103,73,,T20
Babar Azam (PAK),2016-2019,36,36.0,8.0,1405.0,97*,50.17,1102.0,127.49,0.0,12.0,0.0,139,20,,T20
KJ Coetzer (SCOT),2008-2019,58,56.0,2.0,1386.0,89,25.66,1136.0,122.0,0.0,6.0,3.0,144,45,,T20
KC Sangakkara (SL),2006-2014,56,53.0,9.0,1382.0,78,31.4,1156.0,119.55,0.0,8.0,2.0,139,20,,T20
F du Plessis (SA/World),2012-2019,44,44.0,6.0,1363.0,119,35.86,1006.0,135.48,1.0,8.0,0.0,126,45,,T20
Mohammad Nabi (AFG),2010-2019,75,70.0,11.0,1316.0,89,22.3,902.0,145.89,0.0,4.0,4.0,83,78,,T20
DA Miller (SA/World),2010-2019,72,62.0,18.0,1309.0,101*,29.75,935.0,140.0,1.0,2.0,0.0,91,57,,T20
HM Amla (SA/World),2009-2018,44,44.0,6.0,1277.0,97*,33.6,967.0,132.05,0.0,8.0,2.0,146,26,,T20
Mushfiqur Rahim (BDESH),2006-2019,84,76.0,13.0,1265.0,72*,20.07,1060.0,119.33,0.0,5.0,5.0,110,31,,T20
JC Buttler (ENG),2011-2018,66,58.0,11.0,1260.0,73*,26.8,912.0,138.15,0.0,7.0,3.0,102,53,,T20
RD Berrington (SCOT),2008-2019,61,54.0,10.0,1247.0,100,28.34,967.0,128.95,1.0,3.0,6.0,117,36,,T20
GC Wilson (IRE),2008-2019,78,65.0,8.0,1239.0,65*,21.73,1185.0,104.55,0.0,3.0,4.0,105,20,,T20
Yuvraj Singh (INDIA),2007-2017,58,51.0,9.0,1177.0,77*,28.02,863.0,136.38,0.0,8.0,1.0,77,74,,T20
KP Pietersen (ENG),2005-2013,37,36.0,5.0,1176.0,79,37.93,831.0,141.51,0.0,7.0,1.0,119,32,,T20
MDKJ Perera (SL),2013-2019,42,42.0,0.0,1171.0,84,27.88,867.0,135.06,0.0,11.0,0.0,114,41,,T20
NLTC Perera (ICC/SL/World),2010-2019,79,70.0,21.0,1169.0,61,23.85,767.0,152.41,0.0,3.0,8.0,87,62,,T20
Asghar Afghan (AFG),2010-2019,66,60.0,4.0,1167.0,62,20.83,1102.0,105.89,0.0,3.0,4.0,69,58,,T20
DJ Bravo (WI),2006-2016,66,59.0,12.0,1142.0,66*,24.29,981.0,116.41,0.0,4.0,4.0,67,49,,T20
KL Rahul (INDIA),2016-2019,34,31.0,5.0,1138.0,110*,43.76,777.0,146.46,2.0,8.0,1.0,102,50,,T20
BN Cooper (NL),2013-2019,51,48.0,9.0,1094.0,91*,28.05,890.0,122.92,0.0,7.0,5.0,96,36,,T20
WTS Porterfield (IRE),2008-2018,61,59.0,6.0,1079.0,72,20.35,971.0,111.12,0.0,3.0,5.0,120,23,,T20
KA Pollard (WI),2008-2019,68,58.0,12.0,1058.0,68,23.0,819.0,129.18,0.0,4.0,1.0,69,61,,T20
AD Mathews (SL),2009-2018,72,57.0,18.0,1055.0,81*,27.05,893.0,118.14,0.0,5.0,1.0,67,35,,T20
CS MacLeod (SCOT),2009-2019,49,47.0,7.0,1042.0,74,26.05,905.0,115.13,0.0,7.0,4.0,93,21,,T20
Q de Kock (SA),2012-2019,38,38.0,5.0,1018.0,79*,30.84,787.0,129.35,0.0,4.0,3.0,117,32,,T20
LMP Simmons (WI),2007-2019,49,48.0,7.0,990.0,82*,24.14,848.0,116.74,0.0,6.0,6.0,92,37,,T20
Kamran Akmal (PAK),2006-2017,58,53.0,6.0,987.0,73,21.0,825.0,119.63,0.0,5.0,7.0,100,31,,T20
HG Munsey (SCOT),2015-2019,38,36.0,3.0,987.0,127*,29.9,640.0,154.21,1.0,5.0,4.0,114,45,,T20
Samiullah Shinwari (AFG),2010-2019,62,55.0,10.0,985.0,61,21.88,829.0,118.81,0.0,2.0,2.0,73,37,,T20
CL White (AUS),2007-2014,47,44.0,14.0,984.0,85*,32.8,740.0,132.97,0.0,5.0,3.0,71,44,,T20
GC Smith (SA),2005-2011,33,33.0,2.0,982.0,89*,31.67,770.0,127.53,0.0,5.0,1.0,123,26,,T20
Shaiman Anwar (UAE),2014-2019,32,32.0,3.0,971.0,117*,33.48,770.0,126.1,1.0,6.0,1.0,75,43,,T20
Sabbir Rahman (BDESH),2014-2019,44,43.0,5.0,946.0,80,24.89,783.0,120.81,0.0,4.0,2.0,89,28,,T20
G Gambhir (INDIA),2007-2012,37,36.0,2.0,932.0,75,27.41,783.0,119.02,0.0,7.0,2.0,109,10,,T20
Najibullah Zadran (AFG),2012-2019,57,48.0,18.0,918.0,69*,30.6,663.0,138.46,0.0,3.0,1.0,60,48,,T20
JE Root (ENG),2012-2019,32,30.0,5.0,893.0,90*,35.72,707.0,126.3,0.0,5.0,2.0,92,16,,T20
MP O'Dowd (NL),2015-2019,36,35.0,2.0,866.0,69,26.24,718.0,120.61,0.0,6.0,0.0,83,19,,T20
E Chigumbura (ZIM),2006-2019,54,53.0,9.0,852.0,54*,19.36,597.0,142.71,0.0,3.0,6.0,58,51,,T20
E Lewis (WI),2016-2019,29,28.0,1.0,833.0,125*,30.85,544.0,153.12,2.0,5.0,3.0,54,67,,T20
SC Williams (ZIM),2006-2019,38,38.0,5.0,821.0,66,24.87,630.0,130.31,0.0,6.0,4.0,75,24,,T20
BRM Taylor (ZIM),2006-2019,38,38.0,5.0,818.0,75*,24.78,678.0,120.64,0.0,5.0,5.0,81,23,,T20
Sarfaraz Ahmed (PAK),2010-2019,58,41.0,12.0,812.0,89*,28.0,641.0,126.67,0.0,3.0,2.0,79,15,,T20
LD Chandimal (SL),2010-2018,54,47.0,4.0,800.0,58,18.6,766.0,104.43,0.0,4.0,0.0,73,16,,T20
W Barresi (NL),2012-2019,42,41.0,6.0,799.0,75*,22.82,695.0,114.96,0.0,4.0,3.0,69,21,,T20
Soumya Sarkar (BDESH),2015-2019,46,46.0,0.0,791.0,51,17.19,648.0,122.06,0.0,1.0,8.0,81,28,,T20
